Numéro billet;Inscrit;Prénom participant;Nom participant;Paiement;Montant dû;Moyen de paiement;Prestations;Acheté par;Prénom;Nom;Identifiant;Email de l'acheteur;Date de paiement;Date de création;Activités + Afterwork - Adhérent Cannes Is Up [Supprimé];JOURNEE ET SOIREE - Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;Afterwork Uniquement - Adhérent Cannes Is Up [Supprimé];JOURNEE ET SOIREE - Activités uniquement (à partir de 9h30 jusqu'à 18h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;JOURNEE ET SOIREE - Afterwork uniquement (18h - 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;NUIT - Continuer la fête et dormir sur l'île (23h - 8h);NUIT - Continuer la fête et dormir sur l'île (23h - 8h) [Supprimé];Société;Fonction;Choix d'atelier n°1 (les ateliers** doublent vos jetons !);Lunch pack;Choix du moyen de transport à l'aller;Choix du moyen de transport au retour;J'accepte qu'on utilise mes informations, et qu'on me photographie, à des fins de communication.;Choix d'atelier n°2 (les ateliers** doublent vos jetons !);Choix d'atelier n°3 (les ateliers** doublent vos jetons !);Choix d'atelier n°5 (les ateliers** doublent vos jetons !);Ville Société;Je m'inscris à la newsletter de Cannes Is Up et accepte d'être contacté par email;Choix d'atelier n°4 (les ateliers** doublent vos jetons !);La rencontre avec les décideurs est réservée aux sociétés innovantes. Quelle est votre innovation?;Détail
;Linda Fleming;Linda;Fleming;;;;;;;;;lindafleming@eventage.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Charisme et Leadership**;Ping-Pong;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Santos Cotton;Santos;Cotton;;;;;;;;;santoscotton@moke.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Massages( atelier contre 1 jeton)**;Charisme et Leadership**;Ping-Pong;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Sunts Hillton;Sunts;Hillton;;;;;;;;;suntshillton@poke.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Pétanque par BLUE BEACON;Massages (contre 1 jeton !);Ping-Pong;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Pace Gates;Pace;Gates;;;;;;;;;pacegates@gate.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Kayak;Massages (contre 1 jeton !);Ping-Pong;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Lara Loft;Lara;Loft;;;;;;;;;laraloft@loft.com;;;;;;;;;;;;Ping-Pong**;;;;;Paddle**;Massages (contre 1 jeton !);Ping-Pong;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Glover Place;Glover;Place;;;;;;;;;gloverplace@gmail.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;Basket par O'SOL**;Massages (contre 1 jeton !);Ping-Pong;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Solomon Byrd;Solomon;Byrd;;;;;;;;;solomonbyrd@old.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Massages (contre 1 jeton !);Ping-Pong;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Lott Male;Lott;Male;;;;;;;;;lottmate@mate.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;Charisme et Leadership**;Basket par O'SOL**;Ping-Pong;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Zany Ole;Zany;Ole;;;;;;;;;zanyole@ole.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Ping-Pong**;Basket par O'SOL**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Ollie Berg;Ollie;Berg;;;;;;;;;ollieberg@berg.com;;;;;;;;;;;;Storytelling**;;;;;Référencement Google par BRAINY UP**;Basket par O'SOL**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;; ;;
;Apple Amber;Apple;Amber;;;;;;;;;appleamber@apple.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Quiz Cinéma par ADASTRA FILMS**;Kayak**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Zoid Duke;Zoid;Duke;;;;;;;;;zoidduke@duke.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Kayak**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Lorie Noel;Lorie;Noel;;;;;;;;;lorienoel@pole.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Storytelling**;Kayak**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Pole Camp;Pole;Camp ;;;;;;;;;polecamp@camp.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Kayak**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Ray Ban;Ray;Ban ;;;;;;;;;rayban@ban.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Parcours de santé par ENEDIS et CROSSFIT CANNES**;Assurance par GAN;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Jenny Simpson;Jenny;Simpson;;;;;;;;;jennysimpson@pole.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Yoga par ETIOLES DES SABLES**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Assurance par GAN;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Vang Yang;Vang;Yang;;;;;;;;;vangyang@yang.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Biodiversité & Environnement par le CPIE**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Assurance par GAN;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Verna Rios;Verna;Rios;;;;;;;;;vernarios@rios.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Assurance par GAN;;; ;;
;Prince Bros;Prince;Bros;;;;;;;;;princebros@bros.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Poker par ALPHA CONSEILS**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Storytelling**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Amelia Dorsey;Amelia;Dorsey;;;;;;;;;ameliadorsey@love.com;;;;;;;;;;;;Tir à l'arc**;;;;;Massages( atelier contre 1 jeton)**;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Storytelling**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Robert Rock;Robert;Rock;;;;;;;;;robertrock@rock.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;Basket par O'SOL**;Création et quizz parfum par MOLINARD et ROBERTET**;Storytelling**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Dean Buck;Dean;Buck;;;;;;;;;deanbuck@kilo.com;;;;;;;;;;;;Assurance par GAN**;;;;;Kayak;Création et quizz parfum par MOLINARD et ROBERTET**;Storytelling**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Elit Mollit;Elit;Mollit;;;;;;;;;elitmollit@olive.com;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;Paddle**;Création et quizz parfum par MOLINARD et ROBERTET**;Storytelling**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Rios Dios;Rios;Dios;;;;;;;;;riosdios@olin.com;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;Charisme et Leadership**;Création et quizz parfum par MOLINARD et ROBERTET**;Storytelling**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Lane Male;Lane;Male;;;;;;;;;lanemale@male.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Ping-Pong**;Création et quizz parfum par MOLINARD et ROBERTET**;Storytelling**;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;
;Freda Rios;Freda;Rios;;;;;;;;;fredarios@olin.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Charisme et Leadership**;Création et quizz parfum par MOLINARD et ROBERTET**;Storytelling**;;;Kayak;;
;Golf Ramoz;Golf ;Ramoz;;;;;;;;;golframoz@poke.com;;;;;;;;;;;;Kayak**;;;;;Référencement Google par BRAINY UP**;Whimsifoil : volez au-dessus de l'eau !;Storytelling**;;;Kayak;;
;Dale Bale;Dale;Bale;;;;;;;;;dalebale@ole.com;;;;;;;;;;;;Paddle**;;;;;Quiz Cinéma par ADASTRA FILMS**;Whimsifoil : volez au-dessus de l'eau !;Storytelling**;;; ;;
;Minim Mouse;Minim;Mouse;;;;;;;;;minimmouse@kole.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Whimsifoil : volez au-dessus de l'eau !;Storytelling**;;;Kayak;;
;Kole Vole;Kole;Vole;;;;;;;;;kolevole@vol.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Quiz Cinéma par ADASTRA FILMS**;Whimsifoil : volez au-dessus de l'eau !;Storytelling**;;;Kayak;;
;Falsek Trues;Falsek;Trues;;;;;;;;;falsektrues@home.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Storytelling**;Whimsifoil : volez au-dessus de l'eau !;Météo: Selerys**;;;Yoga par ETOILES DES SABLES**;;
;Welkom Home;Welkome;Home;;;;;;;;;welkomhome@home.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Whimsifoil : volez au-dessus de l'eau !;Météo: Selerys**;;;Yoga par ETOILES DES SABLES**;;
;Ray Bols;Ray;Bols;;;;;;;;;raybols@bols.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Storytelling**;Whimsifoil : volez au-dessus de l'eau !;Météo: Selerys**;;;Yoga par ETOILES DES SABLES**;;
;Combs Lewis;Combs;Lewis;;;;;;;;;combslewis@loke.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Whimsifoil : volez au-dessus de l'eau !;Météo: Selerys**;;;Yoga par ETOILES DES SABLES**;;
;Lord Nannie;Lord;Nannie;;;;;;;;;lordnannie@old.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;Yoga par ETIOLES DES SABLES**;Whimsifoil : volez au-dessus de l'eau !;Météo: Selerys**;;; ;;
;Hull Hogan;Hull;Hogan;;;;;;;;;hullhogan@hulk.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Whimsifoil : volez au-dessus de l'eau !;Météo: Selerys**;;;Storytelling**;;
;Chang Pong;Chang;Pong;;;;;;;;;changpong@ping.com;;;;;;;;;;;;Assurance par GAN**;;;;;Biodiversité & Environnement par le CPIE**;Droit de l'innovation TBC**;Météo: Selerys**;;;Storytelling**;;
;Alfred Kent;Alfred;Kent;;;;;;;;;alfredkent@kent.com;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;Yoga par ETIOLES DES SABLES**;Droit de l'innovation TBC**;Météo: Selerys**;;;Biodiversité & Environnement par CPIE**;;
;Bad Kid;Bad;Kid;;;;;;;;;badkid@home.com;;;;;;;;;;;;Météo: Selerys;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Droit de l'innovation TBC**; ;;; ;;
;Lea Love;Lea ;Love;;;;;;;;;Lealove@love.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;Poker par ALPHA CONSEILS**;Droit de l'innovation TBC**;Météo: Selerys**;;;Biodiversité & Environnement par CPIE**;;
;Goran Still;Goran;Still;;;;;;;;;goranstill@still.com;;;;;;;;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Droit de l'innovation TBC**;Météo: Selerys**;;;Biodiversité & Environnement par CPIE**;;
;Noel Solis;Noel ;Solis;;;;;;;;;noelsolis@stel.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;Poker par ALPHA CONSEILS**;Droit de l'innovation TBC**;Météo: Selerys**;;;Biodiversité & Environnement par CPIE**;;
;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;Massages( atelier contre 1 jeton)**;Droit de l'innovation TBC**;Météo: Selerys**;;;Biodiversité & Environnement par CPIE**;;
;;;;;;;;;;;;;;;;;;;;;;;; ;;;;;Basket par O'SOL**;Droit de l'innovation TBC**;Météo: Selerys**;;;Biodiversité & Environnement par CPIE**;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Massages( atelier contre 1 jeton)**;Droit de l'innovation TBC**;Météo: Selerys**;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Basket par O'SOL**;Casse- tete par Enigm'art**;Météo: Selerys**;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pétanque par BLUE BEACON;Casse- tete par Enigm'art**;Météo: Selerys**;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kayak;Casse- tete par Enigm'art**;Météo: Selerys**;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pétanque par BLUE BEACON;Casse- tete par Enigm'art**;Météo: Selerys**;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kayak;Casse- tete par Enigm'art**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paddle**;Casse- tete par Enigm'art**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tir à l'arc**;Casse- tete par Enigm'art**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paddle**;Casse- tete par Enigm'art**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tir à l'arc**;Casse- tete par Enigm'art**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Casse- tete par Enigm'art**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Assurance par GAN**;Casse- tete par Enigm'art**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;Réseaux Sociaux**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Assurance par GAN**;Réseaux Sociaux**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;Réseaux Sociaux**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Météo: Selerys**;Réseaux Sociaux**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;Réseaux Sociaux**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Météo: Selerys**;Droit de l'innovation TBC**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Réseaux Sociaux**;Droit de l'innovation TBC**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;Casse- tete par Enigm'art**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Réseaux Sociaux**;Casse- tete par Enigm'art**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;Casse- tete par Enigm'art**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Whimsifoil : volez au-dessus de l'eau !;Création et quizz parfum par MOLINARD et ROBERTET**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Droit de l'innovation TBC**;Création et quizz parfum par MOLINARD et ROBERTET**;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Whimsifoil : volez au-dessus de l'eau !;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Charisme et Leadership**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Charisme et Leadership**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ping-Pong**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Référencement Google par BRAINY UP**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Référencement Google par BRAINY UP**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Storytelling**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Storytelling**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yoga par ETIOLES DES SABLES**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Massages( atelier contre 1 jeton)**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Massages( atelier contre 1 jeton)**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Basket par O'SOL**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pétanque par BLUE BEACON;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Basket par O'SOL**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pétanque par BLUE BEACON;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kayak;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paddle**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kayak;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paddle**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Charisme et Leadership**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ping-Pong**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Référencement Google par BRAINY UP**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Storytelling**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Whimsifoil : volez au-dessus de l'eau !;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Charisme et Leadership**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ping-Pong**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Référencement Google par BRAINY UP**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Massages( atelier contre 1 jeton)**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Massages( atelier contre 1 jeton)**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Basket par O'SOL**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kayak;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paddle**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pétanque par BLUE BEACON;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Whimsifoil : volez au-dessus de l'eau !;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Réseaux Sociaux**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Météo: Selerys**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;;;
